index,age_yr,age_class,ppt_mm,GSppt_mm,GSinvkT,AinvkT,GSinvBoltzT,AinvBoltzT,lgs_mo,biomass_gm2,anpp_gm2y,ln_biomass,ln_npp,alpha,npp_gs,ln_npp_gs,npp_M,ln_npp_M,npp_gs_M,ln_npp_gs_M,T_gs,T_ma
85,18,0-40,1970.6,1970.6,39.23911048,39.23911048,39.25203038,39.25203038,12,9925,1809,9.202812106,7.500529485,0.995,150.75,5.015622836,0.190849798,-1.65626856,0.01590415,-4.141175209,22.6,22.6
86,18,0-40,103.7,103.7,40.01252819,40.01252819,40.04166921,40.04166921,12,14663,2038,9.593082593,7.619724214,0.995,169.8333333,5.134817564,0.145818444,-1.925392966,0.012151537,-4.410299616,16.88333333,16.88333333
87,19,0-40,1499.5,1499.5,40.25193026,40.25193026,40.28189147,40.28189147,12,15604,2255,9.655282571,7.720905252,0.995,187.9166667,5.235998602,0.151662002,-1.886100906,0.0126385,-4.371007556,15.15833333,15.15833333
88,19,0-40,93.2,93.2,40.19152158,40.19152158,40.21802226,40.21802226,12,13682,1821,9.523836379,7.50714108,0.995,151.75,5.02223443,0.139585757,-1.969076118,0.011632146,-4.453982767,15.59166667,15.59166667
89,20,0-40,688.5,563.3,39.86180375,41.88510681,39.86737227,41.99287039,5,7664,1014,8.94428932,6.921658184,0.995,202.8,5.312220272,0.138358147,-1.977909689,0.027671629,-3.587347601,17.98,3.916666667
90,20,0-40,773.6,742.6,39.95971395,40.5862681,39.98321086,40.63496594,9,5625,825,8.634976227,6.715383386,0.995,91.66666667,4.518158809,0.15313767,-1.87641796,0.017015297,-4.073642537,17.26666667,12.78333333
91,20,0-40,1474.9,1474.9,40.18456301,40.18456301,40.21476692,40.21476692,12,9174,1506,9.124128675,7.317212408,0.995,125.5,4.832305759,0.171822103,-1.761295623,0.014318509,-4.246202273,15.64166667,15.64166667
92,20,0-40,1771,1771,39.88075349,39.88075349,39.90368739,39.90368739,12,20165,2998,9.911703707,8.005700679,0.995,249.8333333,5.520794029,0.156227108,-1.85644451,0.013018926,-4.34135116,17.84166667,17.84166667
93,20,0-40,1470,1470,39.6491197,39.6491197,39.66505479,39.66505479,12,12810,2070,9.457981395,7.635303886,0.995,172.5,5.150397236,0.16941777,-1.775387602,0.014118148,-4.260294251,19.54166667,19.54166667
94,20,0-40,1047,1047,39.69658878,39.69658878,39.70870285,39.70870285,12,10816,1554,9.288781798,7.348587531,0.995,129.5,4.863680881,0.150506297,-1.893750358,0.012542191,-4.378657008,19.19166667,19.19166667
95,20,0-40,1392.6,1392.6,40.15791081,40.15791081,40.17851778,40.17851778,12,11253,1641,9.328390039,7.403061091,0.995,136.75,4.918154441,0.152790589,-1.878686997,0.012732549,-4.363593647,15.83333333,15.83333333
96,20,0-40,1266.8,1243.9,40.31092956,40.44716907,40.33327562,40.47291349,11,12802,1775,9.457356688,7.481555702,0.995,161.3636364,5.083660429,0.14536402,-1.928514202,0.013214911,-4.326409475,14.73636364,13.76666667
97,20,0-40,1358.9,1280.6,40.31742262,40.59810014,40.33357661,40.62170275,10,14078,2051,9.552368574,7.626082758,0.995,205.1,5.323497665,0.152815499,-1.878523973,0.01528155,-4.181109066,14.69,12.7
98,20,0-40,1402.1,1402.1,39.98380749,39.98380749,40.00264162,40.00264162,12,13603,1993,9.518045636,7.59739632,0.995,166.0833333,5.11248967,0.153652904,-1.873059087,0.012804409,-4.357965737,17.09166667,17.09166667
99,20,0-40,1373.6,1373.6,39.999886,39.999886,40.01962768,40.01962768,12,7021,968,8.856660937,6.875232087,0.995,80.66666667,4.390325437,0.144114732,-1.937145545,0.012009561,-4.422052195,16.975,16.975
100,20,0-40,1296,1296,39.95971395,39.95971395,39.98042398,39.98042398,12,10451,1520,9.254452947,7.326465614,0.995,126.6666667,4.841558964,0.152328628,-1.881715068,0.012694052,-4.366621718,17.26666667,17.26666667
101,20,0-40,1209.5,1180,40.25626723,40.39554537,40.27944838,40.42230507,11,8641,1239,9.064273596,7.122059882,0.995,112.6363636,4.724164609,0.15003415,-1.896892346,0.013639468,-4.294787619,15.12727273,14.13333333
102,20,0-40,1300,1300,40.03323265,40.03323265,40.0557985,40.0557985,12,10132,1467,9.223454011,7.290974778,0.995,122.25,4.806068128,0.151622415,-1.886361963,0.012635201,-4.371268613,16.73333333,16.73333333
103,20,0-40,1245.7,1245.7,40.22402678,40.22402678,40.24849783,40.24849783,12,11041,1616,9.309370895,7.387709239,0.995,134.6666667,4.902802589,0.153337362,-1.875114802,0.012778114,-4.360021452,15.35833333,15.35833333
104,20,0-40,1321.5,1321.5,39.94137644,39.94137644,39.97466156,39.97466156,12,15199,2192,9.628984915,7.692569648,0.995,182.6666667,5.207662998,0.151333337,-1.888270343,0.012611111,-4.373176992,17.4,17.4
105,20,0-40,873.1,822.7,40.72020275,41.2816752,40.72284614,41.29498529,7,22980,3201,10.04237955,8.07121854,0.995,457.2857143,6.125308391,0.146467881,-1.920949114,0.020923983,-3.866859263,11.84285714,7.966666667
106,20,0-40,1680.4,1680.4,39.16186814,39.16186814,39.1732239,39.1732239,12,11616,1845,9.360138737,7.520234556,0.995,153.75,5.035327907,0.166442814,-1.793103487,0.013870235,-4.278010137,23.18333333,23.18333333
107,20,0-40,909.6,887.4,40.5649878,40.87335362,40.57074729,40.8849277,9,9736,1174,9.183585635,7.068172,0.995,130.4444444,4.870947423,0.126249432,-2.069495706,0.014027715,-4.266720283,12.93333333,10.775
108,20,0-40,952.6,936.7,40.53350241,40.83500077,40.53895935,40.84604068,9,10656,1285,9.273878393,7.158513997,0.995,142.7777778,4.96128942,0.126312662,-2.068995003,0.01403474,-4.266219581,13.15555556,11.04166667
109,20,0-40,98.7,98.7,40.01022902,40.01022902,40.0382557,40.0382557,12,10004,1964,9.210740292,7.582738489,0.995,163.6666667,5.097831839,0.205574228,-1.581948102,0.017131186,-4.066854751,16.9,16.9
110,20,0-40,109.2,109.2,39.87961143,39.87961143,39.90534242,39.90534242,12,13241,1518,9.491073355,7.325148958,0.995,126.5,4.840242308,0.120215534,-2.118469031,0.010017961,-4.60337568,17.85,17.85
111,20,0-40,1096,1096,40.04244152,40.04244152,40.07548083,40.07548083,12,8116,1107,9.001592701,7.009408933,0.995,92.25,4.524502283,0.142676449,-1.947175805,0.011889704,-4.432082455,16.66666667,16.66666667
112,20,0-40,965.1,950.1,40.53507552,40.83859329,40.54059585,40.84978248,9,3055,535,8.024534872,6.282266747,0.995,59.44444444,4.08504217,0.182292006,-1.70214545,0.020254667,-3.899370028,13.14444444,11.01666667
113,21,0-40,688.5,563.3,39.86180375,41.88510681,39.86737227,41.99287039,5,7023,925,8.856945756,6.829793738,0.995,185,5.220355825,0.13767392,-1.98286729,0.027534784,-3.592305202,17.98,3.916666667
114,21,0-40,571.2,522.3,40.1010828,41.19375351,40.1114205,41.24687047,7,5324,736,8.57998018,6.601230119,0.995,105.1428571,4.65531997,0.144301537,-1.93585016,0.020614505,-3.881760309,16.24285714,8.566666667
115,21,0-40,1224.5,1224.5,39.69885205,39.69885205,39.71565126,39.71565126,12,12581,1749,9.439943018,7.466799475,0.995,145.75,4.981892825,0.14573814,-1.925943828,0.012144845,-4.410850478,19.175,19.175
116,21,0-40,1206.2,1206.2,39.90132177,39.90132177,39.9175382,39.9175382,12,14852,2071,9.605889815,7.635786861,0.995,172.5833333,5.150880212,0.146303287,-1.922073505,0.012191941,-4.406980155,17.69166667,17.69166667
117,21,0-40,1531.8,1531.8,39.96430096,39.96430096,39.99312021,39.99312021,12,15680,2230,9.660141294,7.709756864,0.995,185.8333333,5.224850215,0.149257284,-1.902083723,0.012438107,-4.386990373,17.23333333,17.23333333
