SpecName,Circumference inches,Height feet,Spread feet,Diameter (in),,Height(in),Spread (in),Class,Name_matched_accepted_family,Genus_matched,Specific_epithet_matched
Albizia julibrissin,179,56,74,56.98,,672,888,Angiosperm,Fabaceae,Albizia,julibrissin
Dalea spinosa,48,17,12,15.28,,204,144,Angiosperm,Fabaceae,Dalea,spinosa
Sophora secundiflora,68,27,27,21.65,,324,324,Angiosperm,Fabaceae,Sophora,secundiflora
Sophora affinis,60,33,30,19.1,,396,360,Angiosperm,Fabaceae,Sophora,affinis
Sophora affinis,63,32,36,20.05,,384,432,Angiosperm,Fabaceae,Sophora,affinis
Tamarindus indica,167,75,84,53.16,,900,1008,Angiosperm,Fabaceae,Tamarindus,indica
Olneya tesota,170,45,43,54.11,,540,516,Angiosperm,Fabaceae,Olneya,tesota
Gleditsia aquatica,103,93,45,32.79,,1116,540,Angiosperm,Fabaceae,Gleditsia,aquatica
Gleditsia aquatica,110,74,73,35.01,,888,876,Angiosperm,Fabaceae,Gleditsia,aquatica
Cladrastis kentukea,256,61,63,81.49,,732,756,Angiosperm,Fabaceae,Cladrastis,kentukea
Fagus grandifolia,279,115,138,88.81,,1380,1656,Angiosperm,Fagaceae,Fagus,grandifolia
Castanea dentata,247,86,111,78.62,,1032,1332,Angiosperm,Fagaceae,Castanea,dentata
Castanea dentata,235,106,101,74.8,,1272,1212,Angiosperm,Fagaceae,Castanea,dentata
Castanea ozarkensis,54,60,38,17.19,,720,456,Angiosperm,Fagaceae,Castanea,ozarkensis
Castanopsis chrysophylla,153,122,37,48.7,,1464,444,Angiosperm,Fagaceae,Castanopsis,chrysophylla
Castanea pumila,85,55,60,27.06,,660,720,Angiosperm,Fagaceae,Castanea,pumila
Quercus phellos,259,138,116,82.44,,1656,1392,Angiosperm,Fagaceae,Quercus,phellos
Quercus alba,382,96,119,121.59,,1152,1428,Angiosperm,Fagaceae,Quercus,alba
Quercus nigra L.,286,118,108,91.04,,1416,1296,Angiosperm,Fagaceae,Quercus,nigra
Quercus nigra,278,120,111,88.49,,1440,1332,Angiosperm,Fagaceae,Quercus,nigra
Quercus pungens var. vaseyana,61,39,32,19.42,,468,384,Angiosperm,Fagaceae,Quercus,pungens
Quercus pungens var. vaseyana,45,48,40,14.32,,576,480,Angiosperm,Fagaceae,Quercus,pungens
Quercus lobata,348,163,99,110.77,,1956,1188,Angiosperm,Fagaceae,Quercus,lobata
Quercus laevis,127,72,75,40.43,,864,900,Angiosperm,Fagaceae,Quercus,laevis
Quercus turbinella var. turbinella,160,43,49,50.93,,516,588,Angiosperm,Fagaceae,Quercus,turbinella
Quercus toumeyi,68,27,33,21.65,,324,396,Angiosperm,Fagaceae,Quercus,toumeyi
Quercus virginiana var. fusiformis,295,42,98,93.9,,504,1176,Angiosperm,Fagaceae,Quercus,virginiana
Quercus shumardii var. texana,108,60,59,34.38,,720,708,Angiosperm,Fagaceae,Quercus,shumardii
Quercus bicolor,300,68,49,95.49,,816,588,Angiosperm,Fagaceae,Quercus,bicolor
Quercus bicolor,282,75,107,89.76,,900,1284,Angiosperm,Fagaceae,Quercus,bicolor
Quercus michauxii,197,156,148,62.71,,1872,1776,Angiosperm,Fagaceae,Quercus,michauxii
Quercus falcata var. falcata,312,150,156,99.31,,1800,1872,Angiosperm,Fagaceae,Quercus,falcata
Quercus hypoleucoides,158,85,52,50.29,,1020,624,Angiosperm,Fagaceae,Quercus,hypoleucoides
Quercus shumardii var. shumardii,214,147,88,68.12,,1764,1056,Angiosperm,Fagaceae,Quercus,shumardii
Quercus imbricaria,208,105,62,66.21,,1260,744,Angiosperm,Fagaceae,Quercus,imbricaria
Quercus coccinea,248,120,93,78.94,,1440,1116,Angiosperm,Fagaceae,Quercus,coccinea
Quercus stellata var. margaretta,157,87,92,49.97,,1044,1104,Angiosperm,Fagaceae,Quercus,stellata
Quercus virginiana var. geminata,181,94,100,57.61,,1128,1200,Angiosperm,Fagaceae,Quercus,virginiana
Quercus virginiana var. geminata,189,81,106,60.16,,972,1272,Angiosperm,Fagaceae,Quercus,virginiana
Quercus stellata var. stellata,236,85,88,75.12,,1020,1056,Angiosperm,Fagaceae,Quercus,stellata
Quercus stellata var. stellata,237,84,88,75.44,,1008,1056,Angiosperm,Fagaceae,Quercus,stellata
Quercus palustris,240,134,88,76.39,,1608,1056,Angiosperm,Fagaceae,Quercus,palustris
Quercus lyrata,258,156,120,82.12,,1872,1440,Angiosperm,Fagaceae,Quercus,lyrata
Quercus garryana,272,98,72,86.58,,1176,864,Angiosperm,Fagaceae,Quercus,garryana
Quercus oglethorpensis,120,79,82,38.2,,948,984,Angiosperm,Fagaceae,Quercus,oglethorpensis
Quercus nuttallii,260,110,96,82.76,,1320,1152,Angiosperm,Fagaceae,Quercus,nuttallii
Quercus nuttallii,258,115,85,82.12,,1380,1020,Angiosperm,Fagaceae,Quercus,nuttallii
Quercus rubra,405,80,102,128.92,,960,1224,Angiosperm,Fagaceae,Quercus,rubra
Quercus ellipsoidalis,184,128,92,58.57,,1536,1104,Angiosperm,Fagaceae,Quercus,ellipsoidalis
Quercus rugosa,88,47,36,28.01,,564,432,Angiosperm,Fagaceae,Quercus,rugosa
Quercus mohriana,37,18,20,11.78,,216,240,Angiosperm,Fagaceae,Quercus,mohriana
Quercus oblongifolia,120,65,69,38.2,,780,828,Angiosperm,Fagaceae,Quercus,oblongifolia
Quercus virginiana,439,55,132,139.74,,660,1584,Angiosperm,Fagaceae,Quercus,virginiana
Quercus virginiana,411,77,140,130.83,,924,1680,Angiosperm,Fagaceae,Quercus,virginiana
Quercus laurifolia,257,82,106,81.81,,984,1272,Angiosperm,Fagaceae,Quercus,laurifolia
Quercus laurifolia,258,80,114,82.12,,960,1368,Angiosperm,Fagaceae,Quercus,laurifolia
Quercus glaucoides,107,58,96,34.06,,696,1152,Angiosperm,Fagaceae,Quercus,glaucoides
Quercus wislizeni,252,51,73,80.21,,612,876,Angiosperm,Fagaceae,Quercus,wislizeni
Quercus havardii,40,30,23,12.73,,360,276,Angiosperm,Fagaceae,Quercus,havardii
Quercus grisea,237,55,37,75.44,,660,444,Angiosperm,Fagaceae,Quercus,grisea
Quercus gravesii,145,51,41,46.15,,612,492,Angiosperm,Fagaceae,Quercus,gravesii
Quercus gravesii,154,42,40,49.02,,504,480,Angiosperm,Fagaceae,Quercus,gravesii
Quercus georgiana,73,75,63,23.24,,900,756,Angiosperm,Fagaceae,Quercus,georgiana
Quercus gambelii,216,47,85,68.75,,564,1020,Angiosperm,Fagaceae,Quercus,gambelii
Quercus robur,192,104,89,61.12,,1248,1068,Angiosperm,Fagaceae,Quercus,robur
Quercus engelmannii,143,78,106,45.52,,936,1272,Angiosperm,Fagaceae,Quercus,engelmannii
Quercus emoryi,222,81,72,70.66,,972,864,Angiosperm,Fagaceae,Quercus,emoryi
Quercus prinoides,39,25,20,12.41,,300,240,Angiosperm,Fagaceae,Quercus,prinoides
Quercus durandii var. durandii,189,95,106,60.16,,1140,1272,Angiosperm,Fagaceae,Quercus,durandii
Quercus dunnii,85,35,40,27.06,,420,480,Angiosperm,Fagaceae,Quercus,dunnii
Quercus dunnii,83,37,36,26.42,,444,432,Angiosperm,Fagaceae,Quercus,dunnii
Quercus hemisphaerica,234,96,95,74.48,,1152,1140,Angiosperm,Fagaceae,Quercus,hemisphaerica
Quercus agrifolia,338,58,75,107.59,,696,900,Angiosperm,Fagaceae,Quercus,agrifolia
Quercus graciliformis,65,66,36,20.69,,792,432,Angiosperm,Fagaceae,Quercus,graciliformis
Quercus muehlenbergii,258,110,92,82.12,,1320,1104,Angiosperm,Fagaceae,Quercus,muehlenbergii
Quercus prinus,221,144,78,70.35,,1728,936,Angiosperm,Fagaceae,Quercus,prinus
Quercus falcata var. pagodifolia,342,110,108,108.86,,1320,1296,Angiosperm,Fagaceae,Quercus,falcata
Quercus falcata var. pagodifolia,324,124,136,103.13,,1488,1632,Angiosperm,Fagaceae,Quercus,falcata
Quercus chapmanii,81,45,50,25.78,,540,600,Angiosperm,Fagaceae,Quercus,chapmanii
Quercus chrysolepis,345,69,121,109.82,,828,1452,Angiosperm,Fagaceae,Quercus,chrysolepis
Quercus kelloggii,338,124,115,107.59,,1488,1380,Angiosperm,Fagaceae,Quercus,kelloggii
Quercus macrocarpa,322,96,103,102.5,,1152,1236,Angiosperm,Fagaceae,Quercus,macrocarpa
Quercus incana,88,56,65,28.01,,672,780,Angiosperm,Fagaceae,Quercus,incana
Quercus douglasii,276,112,83,87.85,,1344,996,Angiosperm,Fagaceae,Quercus,douglasii
Quercus marilandica,144,94,65,45.84,,1128,780,Angiosperm,Fagaceae,Quercus,marilandica
Quercus velutina,332,108,116,105.68,,1296,1392,Angiosperm,Fagaceae,Quercus,velutina
Quercus durandii v. breviloba,111,54,38,35.33,,648,456,Angiosperm,Fagaceae,Quercus,durandii
Quercus ilicifolia,34,41,30,10.82,,492,360,Angiosperm,Fagaceae,Quercus,ilicifolia
Quercus arkansana,146,95,106,46.47,,1140,1272,Angiosperm,Fagaceae,Quercus,arkansana
Quercus arizonica,133,56,47,42.34,,672,564,Angiosperm,Fagaceae,Quercus,arizonica
Quercus turbinella var. ajoensis,82,35,40,26.1,,420,480,Angiosperm,Fagaceae,Quercus,turbinella
Lithocarpus densiflorus,275,144,59,87.54,,1728,708,Angiosperm,Fagaceae,Lithocarpus,densiflorus
Garrya elliptica,28,29,22,8.91,,348,264,Angiosperm,Garryaceae,Garrya,elliptica
Garrya wrightii,28,22,22,8.91,,264,264,Angiosperm,Garryaceae,Garrya,wrightii
Hamamelis virginiana,52,35,30,16.55,,420,360,Angiosperm,Hamamelidaceae,Hamamelis,virginiana
Juglans cinerea,259,78,76,82.44,,936,912,Angiosperm,Juglandaceae,Juglans,cinerea
Carya aquatica,190,148,49,60.48,,1776,588,Angiosperm,Juglandaceae,Carya,aquatica
Carya aquatica,228,101,85,72.57,,1212,1020,Angiosperm,Juglandaceae,Carya,aquatica
Carya laciniosa,167,139,80,53.16,,1668,960,Angiosperm,Juglandaceae,Carya,laciniosa
Carya ovata var. ovata,140,153,56,44.56,,1836,672,Angiosperm,Juglandaceae,Carya,ovata
Carya ovata var. ovata,144,132,109,45.84,,1584,1308,Angiosperm,Juglandaceae,Carya,ovata
Carya floridana,62,47,48,19.74,,564,576,Angiosperm,Juglandaceae,Carya,floridana
Carya pallida,143,94,86,45.52,,1128,1032,Angiosperm,Juglandaceae,Carya,pallida
Carya pallida,138,104,68,43.93,,1248,816,Angiosperm,Juglandaceae,Carya,pallida
Carya glabra var. odorata,154,153,79,49.02,,1836,948,Angiosperm,Juglandaceae,Carya,glabra
Carya glabra var. glabra,200,105,125,63.66,,1260,1500,Angiosperm,Juglandaceae,Carya,glabra
Carya myristiciformis,132,145,80,42.02,,1740,960,Angiosperm,Juglandaceae,Carya,myristiciformis
Carya ovata var. australis,94,150,65,29.92,,1800,780,Angiosperm,Juglandaceae,Carya,ovata
Carya texana,118,127,70,37.56,,1524,840,Angiosperm,Juglandaceae,Carya,texana
Carya cordiformis,182,120,100,57.93,,1440,1200,Angiosperm,Juglandaceae,Carya,cordiformis
Carya illinoensis,267,136,111,84.99,,1632,1332,Angiosperm,Juglandaceae,Carya,illinoinensis
Juglans major,215,73,88,68.44,,876,1056,Angiosperm,Juglandaceae,Juglans,major
Juglans nigra,278,130,140,88.49,,1560,1680,Angiosperm,Juglandaceae,Juglans,nigra
Juglans microcarpa,160,53,65,50.93,,636,780,Angiosperm,Juglandaceae,Juglans,microcarpa
Juglans microcarpa,160,50,80,50.93,,600,960,Angiosperm,Juglandaceae,Juglans,microcarpa
Juglans hindsii,290,115,106,92.31,,1380,1272,Angiosperm,Juglandaceae,Juglans,hindsii
Juglans californica,241,116,95,76.71,,1392,1140,Angiosperm,Juglandaceae,Juglans,californica
Koeberlinia spinosa,23,20,19,7.32,,240,228,Angiosperm,Koeberliniaceae,Koeberlinia,spinosa
Vitex agnus-castus,101,26,34,32.15,,312,408,Angiosperm,Lamiaceae,Vitex,agnus-castus
Persea americana,172,75,60,54.75,,900,720,Angiosperm,Lauraceae,Persea,americana
Umbellularia californica,546,108,118,173.8,,1296,1416,Angiosperm,Lauraceae,Umbellularia,californica
Cinnamomum camphora,422,67,103,134.33,,804,1236,Angiosperm,Lauraceae,Cinnamomum,camphora
Persea borbonia var. borbonia,152,77,52,48.38,,924,624,Angiosperm,Lauraceae,Persea,borbonia
Sassafras albidum,262,78,69,83.4,,936,828,Angiosperm,Lauraceae,Sassafras,albidum
Persea borbonia var. humilis,55,38,46,17.51,,456,552,Angiosperm,Lauraceae,Persea,borbonia
Lindera benzoin,12,32,24,3.82,,384,288,Angiosperm,Lauraceae,Lindera,benzoin
Lindera benzoin,14,26,19,4.46,,312,228,Angiosperm,Lauraceae,Lindera,benzoin
Persea borbonia var. pubescens,63,36,47,20.05,,432,564,Angiosperm,Lauraceae,Persea,borbonia
Magnolia tripetala,122,50,50,38.83,,600,600,Angiosperm,Magnoliaceae,Magnolia,tripetala
Magnolia grandiflora,268,98,90,85.31,,1176,1080,Angiosperm,Magnoliaceae,Magnolia,grandiflora
Magnolia pyramidata,46,84,30,14.64,,1008,360,Angiosperm,Magnoliaceae,Magnolia,pyramidata
Magnolia pyramidata,62,65,32,19.74,,780,384,Angiosperm,Magnoliaceae,Magnolia,pyramidata
Magnolia fraseri,118,121,33,37.56,,1452,396,Angiosperm,Magnoliaceae,Magnolia,fraseri
Magnolia acuminata,293,75,83,93.26,,900,996,Angiosperm,Magnoliaceae,Magnolia,acuminata
Magnolia macrophylla,51,80,34,16.23,,960,408,Angiosperm,Magnoliaceae,Magnolia,macrophylla
Magnolia macrophylla,50,86,28,15.92,,1032,336,Angiosperm,Magnoliaceae,Magnolia,macrophylla
Magnolia ashei,55,52,37,17.51,,624,444,Angiosperm,Magnoliaceae,Magnolia,ashei
Liriodendron tulipifera,374,111,125,119.05,,1332,1500,Angiosperm,Magnoliaceae,Liriodendron,tulipifera
Byrsonima lucida,31,35,17,9.87,,420,204,Angiosperm,Malpighiaceae,Byrsonima,lucida
Tilia heterophylla,223,116,57,70.98,,1392,684,Angiosperm,Malvaceae,Tilia,heterophylla
Tilia caroliniana,155,75,57,49.34,,900,684,Angiosperm,Malvaceae,Tilia,caroliniana
Tilia caroliniana,124,107,60,39.47,,1284,720,Angiosperm,Malvaceae,Tilia,caroliniana
Tilia americana,292,78,100,92.95,,936,1200,Angiosperm,Malvaceae,Tilia,americana
Fremontodrendron californicum,40,26,21,12.73,,312,252,Angiosperm,Malvaceae,Fremontodendron,californicum
Hibiscua syriacus,17,16,9,5.41,,192,108,Angiosperm,Malvaceae,Hibiscus,syriacus
Hibiscua syriacus,8,19,13,2.55,,228,156,Angiosperm,Malvaceae,Hibiscus,syriacus
Hibiscus tiliaceus,102,50,74,32.47,,600,888,Angiosperm,Malvaceae,Hibiscus,tiliaceus
Firmiana simplex,140,44,36,44.56,,528,432,Angiosperm,Malvaceae,Firmiana,simplex
Thespesia populnea,108,42,69,34.38,,504,828,Angiosperm,Malvaceae,Thespesia,populnea
Melia azedarach,222,75,96,70.66,,900,1152,Angiosperm,Meliaceae,Melia,azedarach
Swietenia mahagoni,175,79,96,55.7,,948,1152,Angiosperm,Meliaceae,Swietenia,mahagoni
Ficus citrifolia,248,41,57,78.94,,492,684,Angiosperm,Moraceae,Ficus,citrifolia
Ficus aurea,360,63,72,114.59,,756,864,Angiosperm,Moraceae,Ficus,aurea
Morus alba,292,59,73,92.95,,708,876,Angiosperm,Moraceae,Morus,alba
Morus microphylla,100,30,48,31.83,,360,576,Angiosperm,Moraceae,Morus,microphylla
Morus rubra,301,52,52,95.81,,624,624,Angiosperm,Moraceae,Morus,rubra
Morus nigra,252,78,76,80.21,,936,912,Angiosperm,Moraceae,Morus,nigra
Maclura pomifera,321,60,85,102.18,,720,1020,Angiosperm,Moraceae,Maclura,pomifera
Broussonetia papyrifera,157,75,55,49.97,,900,660,Angiosperm,Moraceae,Broussonetia,papyrifera
Myrica cerifera,68,26,32,21.65,,312,384,Angiosperm,Myricaceae,Myrica,cerifera
Myrica cerifera,72,25,36,22.92,,300,432,Angiosperm,Myricaceae,Myrica,cerifera
Myrica cerifera,76,20,38,24.19,,240,456,Angiosperm,Myricaceae,Myrica,cerifera
Myrica cerifera,68,28,33,21.65,,336,396,Angiosperm,Myricaceae,Myrica,cerifera
Myrica californica,46,38,35,14.64,,456,420,Angiosperm,Myricaceae,Myrica,californica
Myrica inodora,33,18,23,10.5,,216,276,Angiosperm,Myricaceae,Myrica,inodora
Myrica pensylvanica,10,13,10,3.18,,156,120,Angiosperm,Myricaceae,Myrica,pensylvanica
Melaleuca quinquenervia,231,62,28,73.53,,744,336,Angiosperm,Myrtaceae,Melaleuca,quinquenervia
Eucalyptus camaldulensis,342,130,105,108.86,,1560,1260,Angiosperm,Myrtaceae,Eucalyptus,camaldulensis
Eucalyptus globulus,586,141,126,186.53,,1692,1512,Angiosperm,Myrtaceae,Eucalyptus,globulus
Calyptranthes pallens,49,40,24,15.6,,480,288,Angiosperm,Myrtaceae,Calyptranthes,pallens
Calyptranthes zuzygium,9,22,4,2.86,,264,48,Angiosperm,Myrtaceae,Calyptranthes,zuzygium
Eugenia foetida,16,19,14,5.09,,228,168,Angiosperm,Myrtaceae,Eugenia,foetida
Eugenia foetida,11,24,8,3.5,,288,96,Angiosperm,Myrtaceae,Eugenia,foetida
Eugenia rhombea,19,23,14,6.05,,276,168,Angiosperm,Myrtaceae,Eugenia,rhombea
Eugenia confusa,60,46,26,19.1,,552,312,Angiosperm,Myrtaceae,Eugenia,confusa
Myrcianthes fragrans var. simpsonii,34,51,40,10.82,,612,480,Angiosperm,Myrtaceae,Myrcianthes,fragrans
Eugenia axillaris,15,28,9,4.77,,336,108,Angiosperm,Myrtaceae,Eugenia,axillaris
Eugenia axillaris,15,25,11,4.77,,300,132,Angiosperm,Myrtaceae,Eugenia,axillaris
Guapira discolor,64,34,22,20.37,,408,264,Angiosperm,Nyctaginaceae,Guapira,discolor
Pisonia rotundata,38,28,14,12.1,,336,168,Angiosperm,Nyctaginaceae,Pisonia,rotundata
Fraxinus americana,304,95,82,96.77,,1140,984,Angiosperm,Oleaceae,Fraxinus,americana
Fraxinus velutina,189,90,85,60.16,,1080,1020,Angiosperm,Oleaceae,Fraxinus,velutina
Fraxinus dipetala,35,34,28,11.14,,408,336,Angiosperm,Oleaceae,Fraxinus,dipetala
Fraxinus texensis,76,72,67,24.19,,864,804,Angiosperm,Oleaceae,Fraxinus,texensis
Fraxinus anomala var. anomala,52,31,15,16.55,,372,180,Angiosperm,Oleaceae,Fraxinus,anomala
Fraxinus profunda,180,133,93,57.3,,1596,1116,Angiosperm,Oleaceae,Fraxinus,profunda
Fraxinus latifolia,284,65,66,90.4,,780,792,Angiosperm,Oleaceae,Fraxinus,latifolia
Fraxinus anomala var. lowelii,28,28,9,8.91,,336,108,Angiosperm,Oleaceae,Fraxinus,anomala
Fraxinus pennsylvanica,259,95,95,82.44,,1140,1140,Angiosperm,Oleaceae,Fraxinus,pennsylvanica
Fraxinus caroliniana,56,71,45,17.83,,852,540,Angiosperm,Oleaceae,Fraxinus,caroliniana
Fraxinus gooddingii,25,30,22,7.96,,360,264,Angiosperm,Oleaceae,Fraxinus,gooddingii
Fraxinus nigra,157,99,82,49.97,,1188,984,Angiosperm,Oleaceae,Fraxinus,nigra
Fraxinus nigra,99,155,108,31.51,,1860,1296,Angiosperm,Oleaceae,Fraxinus,nigra
Fraxinus berlandierana,234,65,78,74.48,,780,936,Angiosperm,Oleaceae,Fraxinus,berlandieriana
Osmanthus americanus,37,42,30,11.78,,504,360,Angiosperm,Oleaceae,Osmanthus,americanus
Osmanthus americanus,36,46,27,11.46,,552,324,Angiosperm,Oleaceae,Osmanthus,americanus
Forestiera segregata,25,18,21,7.96,,216,252,Angiosperm,Oleaceae,Forestiera,segregata
Forestiera phillyreoides,10,17,17,3.18,,204,204,Angiosperm,Oleaceae,Forestiera,phillyreoides
Chionanthus virginicus,53,32,35,16.87,,384,420,Angiosperm,Oleaceae,Chionanthus,virginicus
Chionanthus virginicus,57,25,43,18.14,,300,516,Angiosperm,Oleaceae,Chionanthus,virginicus
Chionanthus virginicus,42,41,31,13.37,,492,372,Angiosperm,Oleaceae,Chionanthus,virginicus
Ligustrum ovalifolium,96,30,38,30.56,,360,456,Angiosperm,Oleaceae,Ligustrum,ovalifolium
Ligustrum sinense,107,62,65,34.06,,744,780,Angiosperm,Oleaceae,Ligustrum,sinense
Forestiera acuminata,100,41,49,31.83,,492,588,Angiosperm,Oleaceae,Forestiera,acuminata
Paulownia tomentosa,276,52,73,87.85,,624,876,Angiosperm,Paulowniaceae,Paulownia,tomentosa
Alvaradoa amorphoides,25,15,9,7.96,,180,108,Angiosperm,Picramniaceae,Alvaradoa,amorphoides
Pseudotsuga menziesii var. glauca,316,139,55,100.59,,1668,660,Gymnosperm,Pinaceae,Pseudotsuga,menziesii
Pseudotsuga menziesii var menziesii,505,281,71,160.75,,3372,852,Gymnosperm,Pinaceae,Pseudotsuga,menziesii
Pseudotsuga macrocarpa,264,145,85,84.03,,1740,1020,Gymnosperm,Pinaceae,Pseudotsuga,macrocarpa
Abies lasiocarpa var lasiocarpa,252,125,26,80.21,,1500,312,Gymnosperm,Pinaceae,Abies,lasiocarpa
Abies concolor var. concolor,227,94,48,72.26,,1128,576,Gymnosperm,Pinaceae,Abies,concolor
Abies amabilis,260,218,37,82.76,,2616,444,Gymnosperm,Pinaceae,Abies,amabilis
Abies procera,313,272,49,99.63,,3264,588,Gymnosperm,Pinaceae,Abies,procera
Abies procera,359,227,41,114.27,,2724,492,Gymnosperm,Pinaceae,Abies,procera
Abies grandis,245,257,36,77.99,,3084,432,Gymnosperm,Pinaceae,Abies,grandis
Abies fraseri,151,89,52,48.06,,1068,624,Gymnosperm,Pinaceae,Abies,fraseri
Abies lasiocarpa var. arizonica,157,95,33,49.97,,1140,396,Gymnosperm,Pinaceae,Abies,lasiocarpa
Abies concolor var. lowiana,276,217,39,87.85,,2604,468,Gymnosperm,Pinaceae,Abies,concolor
Abies magnifica,365,172,41,116.18,,2064,492,Gymnosperm,Pinaceae,Abies,magnifica
Abies balsamea,148,100,45,47.11,,1200,540,Gymnosperm,Pinaceae,Abies,balsamea
Tsuga heterophylla,316,202,47,100.59,,2424,564,Gymnosperm,Pinaceae,Tsuga,heterophylla
Tsuga heterophylla,270,241,67,85.94,,2892,804,Gymnosperm,Pinaceae,Tsuga,heterophylla
Tsuga heterophylla,341,174,65,108.54,,2088,780,Gymnosperm,Pinaceae,Tsuga,heterophylla
Tsuga mertensiana,234,152,41,74.48,,1824,492,Gymnosperm,Pinaceae,Tsuga,mertensiana
Tsuga mertensiana,277,113,44,88.17,,1356,528,Gymnosperm,Pinaceae,Tsuga,mertensiana
Tsuga canadensis,202,165,38,64.3,,1980,456,Gymnosperm,Pinaceae,Tsuga,canadensis
Tsuga caroliniana,161,99,50,51.25,,1188,600,Gymnosperm,Pinaceae,Tsuga,caroliniana
Larix occidentalis,230,189,35,73.21,,2268,420,Gymnosperm,Pinaceae,Larix,occidentalis
Larix occidentalis,264,153,34,84.03,,1836,408,Gymnosperm,Pinaceae,Larix,occidentalis
Larix lyallii,236,94,56,75.12,,1128,672,Gymnosperm,Pinaceae,Larix,lyallii
Larix decidua,183,92,72,58.25,,1104,864,Gymnosperm,Pinaceae,Larix,decidua
Pinus aristata var. aristata,138,72,33,43.93,,864,396,Gymnosperm,Pinaceae,Pinus,aristata
Pinus aristata var. aristata,132,76,39,42.02,,912,468,Gymnosperm,Pinaceae,Pinus,aristata
Pinus leiophylla var. chihuahuana,121,87,34,38.52,,1044,408,Gymnosperm,Pinaceae,Pinus,leiophylla
Pinus discolor,64,32,37,20.37,,384,444,Gymnosperm,Pinaceae,Pinus,discolor
Pinus contorta var. bolanderi,58,76,18,18.46,,912,216,Gymnosperm,Pinaceae,Pinus,contorta
Pinus muricata,172,112,40,54.75,,1344,480,Gymnosperm,Pinaceae,Pinus,muricata
Pinus nigra,129,114,49,41.06,,1368,588,Gymnosperm,Pinaceae,Pinus,nigra
Pinus ponderosa var. arizonica,153,127,57,48.7,,1524,684,Gymnosperm,Pinaceae,Pinus,ponderosa
Pinus engelmannii,121,112,38,38.52,,1344,456,Gymnosperm,Pinaceae,Pinus,engelmannii
Pinus engelmannii,127,108,44,40.43,,1296,528,Gymnosperm,Pinaceae,Pinus,engelmannii
Pinus coulteri,152,141,72,48.38,,1692,864,Gymnosperm,Pinaceae,Pinus,coulteri
Pinus sabiniana,176,120,77,56.02,,1440,924,Gymnosperm,Pinaceae,Pinus,sabiniana
Pinus strobus,200,150,53,63.66,,1800,636,Gymnosperm,Pinaceae,Pinus,strobus
Pinus balfouriana,316,76,34,100.59,,912,408,Gymnosperm,Pinaceae,Pinus,balfouriana
Pinus aristata var. longaeva,439,41,48,139.74,,492,576,Gymnosperm,Pinaceae,Pinus,aristata
Pinus banksiana,116,56,61,36.92,,672,732,Gymnosperm,Pinaceae,Pinus,banksiana
Pinus jeffreyi,306,202,79,97.4,,2424,948,Gymnosperm,Pinaceae,Pinus,jeffreyi
Pinus attenuata,135,117,66,42.97,,1404,792,Gymnosperm,Pinaceae,Pinus,attenuata
Pinus flexilis,275,58,46,87.54,,696,552,Gymnosperm,Pinaceae,Pinus,flexilis
Pinus taeda,186,167,67,59.21,,2004,804,Gymnosperm,Pinaceae,Pinus,taeda
Pinus contorta var. latifolia,132,155,32,42.02,,1860,384,Gymnosperm,Pinaceae,Pinus,contorta
Pinus palustris,127,120,66,40.43,,1440,792,Gymnosperm,Pinaceae,Pinus,palustris
Pinus cembroides,111,66,44,35.33,,792,528,Gymnosperm,Pinaceae,Pinus,cembroides
Pinus radiata,204,95,90,64.94,,1140,1080,Gymnosperm,Pinaceae,Pinus,radiata
Pinus radiata,208,95,74,66.21,,1140,888,Gymnosperm,Pinaceae,Pinus,radiata
Pinus quadrifolia,86,53,42,27.37,,636,504,Gymnosperm,Pinaceae,Pinus,quadrifolia
Pinus edulis,213,69,52,67.8,,828,624,Gymnosperm,Pinaceae,Pinus,edulis
Pinus rigida,142,112,75,45.2,,1344,900,Gymnosperm,Pinaceae,Pinus,rigida
Pinus rigida,169,99,40,53.79,,1188,480,Gymnosperm,Pinaceae,Pinus,rigida
Pinus serotina,111,132,52,35.33,,1584,624,Gymnosperm,Pinaceae,Pinus,serotina
Pinus ponderosa var. ponderosa,293,227,68,93.26,,2724,816,Gymnosperm,Pinaceae,Pinus,ponderosa
Pinus ponderosa var. ponderosa,294,223,59,93.58,,2676,708,Gymnosperm,Pinaceae,Pinus,ponderosa
Pinus resinosa,124,124,60,39.47,,1488,720,Gymnosperm,Pinaceae,Pinus,resinosa
Pinus resinosa,120,126,48,38.2,,1512,576,Gymnosperm,Pinaceae,Pinus,resinosa
Pinus ponderosa var. scopulorum,241,194,64,76.71,,2328,768,Gymnosperm,Pinaceae,Pinus,ponderosa
Pinus clausa,97,91,42,30.88,,1092,504,Gymnosperm,Pinaceae,Pinus,clausa
Pinus sylvestris,186,64,76,59.21,,768,912,Gymnosperm,Pinaceae,Pinus,sylvestris
Pinus contorta var. contorta,138,101,37,43.93,,1212,444,Gymnosperm,Pinaceae,Pinus,contorta
Pinus echinata,174,112,61,55.39,,1344,732,Gymnosperm,Pinaceae,Pinus,echinata
Pinus contorta var. murrayana,245,116,50,77.99,,1392,600,Gymnosperm,Pinaceae,Pinus,contorta
Pinus contorta var. murrayana,238,124,42,75.76,,1488,504,Gymnosperm,Pinaceae,Pinus,contorta
Pinus monophylla,164,45,40,52.2,,540,480,Gymnosperm,Pinaceae,Pinus,monophylla
