"Taxa footnotes, ""[a]"", are found in Column C.",Literature or other reference., Footnotes from respective pages of Cannell (1982).,Original table order for sorting purposes.,years,log10 years,m,log10 m,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year
Pinus nigra var. calabrica syn. var. maritima,Cannell (1982).   Page 243,,875,28,1.447158,8.5,0.929419,-999,-999,17.62749446,1.246191,1.33037694,0.123975,18.9578714,1.27779,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pinus nigra var. calabrica syn. var. maritima,Cannell (1982).   Page 243,,876,48,1.681241,13.6,1.133539,-999,-999,95.77338129,1.981245,5.035971223,0.702083,100.809353,2.003501,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 243,,877,18,1.255273,5.5,0.740363,-999,-999,9.404509539,0.973336,1.194835228,0.077308,10.5993448,1.025279,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 243,,878,28,1.447158,11.9,1.075547,-999,-999,42.07058824,1.623979,2.211764706,0.344739,44.2823529,1.646231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 243,,879,64,1.80618,16.5,1.217484,-999,-999,140,2.146128,5.766871166,0.76094,145.766871,2.163659,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 244,,880,7,0.845098,1.4,0.146128,0.706860707,-0.15067,0.415800416,-0.38112,0.436590437,-0.35993,0.85239085,-0.06936,-999,-999,1.559251559,0.192916187,-999,-999,-999,-999,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 244,,881,11,1.041393,2.9,0.462398,2.505910165,0.398965,2.245862884,0.351383,1.371158392,0.137088,3.61702128,0.558351,-999,-999,6.122931442,0.786959397,0.520091792,-0.28392,0.401892591,-0.39589,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 244,,882,14,1.146128,3.6,0.556303,2.003853565,0.301866,3.121387283,0.494348,1.290944123,0.110907,4.41233141,0.644668,-999,-999,6.416184971,0.807276876,0.481692628,-0.31723,0.751449846,-0.1241,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 244,,883,17,1.230449,4.9,0.690196,2.269503546,0.355931,4.539007092,0.656961,1.595744681,0.202963,6.13475177,0.787797,0.017730496,-1.75128,8.404255319,0.924499238,1.134752113,0.054901,0.762412486,-0.11781,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 244,,884,20,1.30103,5.8,0.763428,2.592592593,0.413734,7.240740741,0.859783,1.944444444,0.288796,9.18518519,0.963088,0.092592593,-1.03342,11.77777778,1.071063356,1.092591959,0.038458,0.666668599,-0.17609,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 244,,885,23,1.361728,8.2,0.913814,7.71978022,0.887605,15.96153846,1.203075,1.401098901,0.146469,17.3626374,1.239616,0.137362637,-0.86213,25.08241758,1.399369394,3.846156928,0.585027,1.01648272,0.0071,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 244,,886,31,1.491362,12.6,1.100371,11.68776371,1.067731,38.43881857,1.58477,3.502109705,0.54433,41.9409283,1.622638,0.253164557,-0.5966,53.62869198,1.729397205,4.852315152,0.685949,1.5189868,0.181554,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 244,,887,35,1.544068,14.2,1.152288,23.28042328,1.366991,57.35449735,1.758567,5.185185185,0.714764,62.5396825,1.796156,0.317460317,-0.49831,85.82010582,1.933589046,6.931209087,0.840809,1.851850828,0.267606,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 244,,888,55,1.740363,16,1.20412,44.86842105,1.651941,143.4210526,2.156613,9.473684211,0.976519,152.894737,2.184393,1.315789474,0.119186,197.7631579,2.296145388,7.631571896,0.882614,4.342101788,0.6377,-999,-999,-999,-999
Pinus sylvestria,Cannell (1982).   Page 245,,889,33,1.518514,15,1.176091,8.474178404,0.928098,31.17370892,1.493788,1.713615023,0.233913,32.8873239,1.517029,-999,-999,41.36150235,1.616596305,-999,-999,-999,-999,-999,-999,-999,-999
Pinus nigra var. maritima,Cannell (1982).   Page 246,,890,39,1.591065,12.9,1.11059,13.31753555,1.124424,50.47393365,1.703067,3.507109005,0.544949,53.9810427,1.732241,-999,-999,67.2985782,1.828005889,3.071093225,0.487293,1.507110168,0.178145,0.69194249,-0.15993,5.27014218,0.721822332
Pinus nigra var. maritima,Cannell (1982).   Page 246,,891,39,1.591065,13.3,1.123852,17.10900474,1.233225,53.6492891,1.729564,4.644549763,0.666944,58.2938389,1.765623,-999,-999,75.4028436,1.877387724,3.976307845,0.59948,1.900474295,0.278862,2.080568409,0.318182,7.957345972,0.900768241
Pinus nigra var. maritima,Cannell (1982).   Page 246,,892,39,1.591065,13.3,1.123852,16.01895735,1.204634,56.06635071,1.748702,5.592417062,0.7476,61.6587678,1.789995,-999,-999,77.67772512,1.890296498,4.876778156,0.688133,2.355450598,0.372074,1.497631617,0.175405,8.72985782,0.941007171
Pinus nigra var. maritima,Cannell (1982).   Page 246,,893,39,1.591065,13.2,1.120574,15.02369668,1.176777,56.16113744,1.749436,6.3507109,0.802822,62.5118483,1.795962,-999,-999,77.53554502,1.889500844,4.971563604,0.696493,2.545024691,0.405692,1.33175397,0.124424,8.848341232,0.946861863
Pinus nigra var. maritima,Cannell (1982).   Page 246,,894,39,1.591065,13.1,1.117271,17.61904762,1.245982,59.95238095,1.777806,7.047619048,0.848042,67,1.826075,-999,-999,84.61904762,1.927468133,4.33333236,0.636822,2.599997917,0.414973,2.080951699,0.318262,9.014285714,0.954931319
Pinus nigra var. maritima,Cannell (1982).   Page 247,,895,20,1.30103,6.4,0.80618,5.783489867,0.76219,13.14878893,1.118886,2.224419179,0.347217,15.3732081,1.186765,-999,-999,21.15669797,1.325447886,-999,-999,-999,-999,-999,-999,-999,-999
Pinus nigra var. maritima,Cannell (1982).   Page 247,,896,30,1.477121,11.2,1.049218,17.69964243,1.247964,56.25744934,1.75018,5.840286055,0.766434,62.0977354,1.793076,-999,-999,79.79737783,1.901988621,-999,-999,-999,-999,-999,-999,-999,-999
Pinus nigra var. maritima,Cannell (1982).   Page 247,,897,40,1.60206,15.4,1.187521,37.99559471,1.579733,142.5110132,2.153848,10.57268722,1.024185,153.0837,2.184929,-999,-999,191.0792952,2.281213631,-999,-999,-999,-999,-999,-999,-999,-999
Pinus nigra var. maritima,Cannell (1982).   Page 247,,898,50,1.69897,18.8,1.274158,45.92833876,1.662081,257.6547231,2.411038,14.49511401,1.161222,272.149837,2.434808,-999,-999,318.0781759,2.502533872,-999,-999,-999,-999,-999,-999,-999,-999
Pinus nigra var. maritima,Cannell (1982).   Page 247,,899,60,1.778151,21.6,1.334454,86.4978903,1.937006,384.3881857,2.58477,16.87763713,1.227312,401.265823,2.603432,-999,-999,487.7637131,2.688209488,-999,-999,-999,-999,-999,-999,-999,-999
Pinus nigra var. maritima,Cannell (1982).   Page 247,,900,70,1.845098,23.8,1.376577,108.1885856,2.034181,508.1885856,2.706025,17.617866,1.245953,525.806452,2.720826,-999,-999,633.9950372,2.802085858,-999,-999,-999,-999,-999,-999,-999,-999
Pinus nigra var. maritima,Cannell (1982).   Page 247,,901,80,1.90309,25.4,1.404834,126.5363128,2.102215,617.0391061,2.790313,17.59776536,1.245458,634.636872,2.802525,-999,-999,761.1731844,2.88148348,-999,-999,-999,-999,-999,-999,-999,-999
"Aesculus octandra (40%) [a], Tilia heteroophylla (26%) [a], Prunus serotina (16%) [a] et al.",Cannell (1982).   Page 250,[a] Percentage of the total volume increment; A. octandra syn. flava.,902,222,2.346353,34,1.531479,53.79310345,1.730727,342.0689655,2.534114,2.75862069,0.440692,344.827586,2.537602,0.137931034,-0.86034,398.6206897,2.600559836,4.827585787,0.68373,2.758620759,0.440692,1.241380731,0.093905,8.827586207,0.945841967
Alnus incana subsp. Tenufolia (83-89%) [a] with Salix spp.,Cannell (1982).   Page 251,[a] Percentage of the above-ground biomass.,903,5,0.69897,3,0.477121,0.118714662,-0.9255,0.138030946,-0.86002,0.038028934,-1.41989,0.17605988,-0.75434,-999,-999,0.294774543,-0.530510026,-999,-999,-999,-999,-999,-999,-999,-999
Alnus incana subsp. Tenufolia (83-89%) [a] with Salix spp.,Cannell (1982).   Page 251,[a] Percentage of the above-ground biomass.,904,15,1.176091,6.5,0.812913,3.331141793,0.522593,5.706771861,0.756391,0.357221126,-0.44706,6.06399299,0.782759,0.030681569,-1.51312,9.39513478,0.972903015,-999,-999,-999,-999,-999,-999,-999,-999
Alnus incana subsp. Tenufolia (83-89%) [a] with Salix spp.,Cannell (1982).   Page 251,[a] Percentage of the above-ground biomass.,905,20,1.30103,6.5,0.812913,3.462615514,0.539404,5.680481658,0.754385,0.299635956,-0.52341,5.98011761,0.77671,0.004200504,-2.3767,9.442733128,0.975097716,0.407445945,-0.38993,0.264630563,-0.57736,-999,-999,-999,-999
Alnus rubra,Cannell (1982).   Page 252,,906,5,0.69897,5,0.69897,-999,-999,0.889284126,-0.05096,0.240106714,-0.6196,1.12939084,0.052844,-999,-999,-999,-999,0.444641506,-0.35199,0.240104334,-0.6196,-999,-999,-999,-999
Alnus rubra,Cannell (1982).   Page 252,,907,10,1,11,1.041393,-999,-999,7.688759034,0.885856,0.845763494,-0.07275,8.53452253,0.931179,-999,-999,-999,-999,2.56804719,0.409603,0.845765567,-0.07275,0.445943666,-0.35072,3.859757035,0.586559967
Alnus rubra,Cannell (1982).   Page 252,,908,20,1.30103,20,1.30103,17.01222754,1.230761,74.42849548,1.871739,2.658160553,0.424581,77.086656,1.886979,-999,-999,94.09888357,1.973584471,5.316318603,0.725611,2.658159275,0.424581,-999,-999,-999,-999
Alnus rubra,Cannell (1982).   Page 252,,909,30,1.477121,25,1.39794,43.95604396,1.643019,197.8021978,2.296231,4.615384615,0.664208,202.417582,2.306248,-999,-999,246.3736264,2.391594216,7.692313932,0.886057,4.615385699,0.664208,-999,-999,-999,-999
Alnus rubra,Cannell (1982).   Page 252,,910,40,1.60206,27,1.431364,82.72058824,1.917614,367.6470588,2.565431,6.433823529,0.808469,374.080882,2.572966,-999,-999,456.8014706,2.659727493,9.191174256,0.963371,6.433821386,0.808469,-999,-999,-999,-999
Alnus rubra,Cannell (1982).   Page 252,,911,50,1.69897,29,1.462398,136.9863014,2.136677,561.6438356,2.749461,8.219178082,0.914828,569.863014,2.75577,-999,-999,706.8493151,2.849326842,10.95890091,1.039767,8.219170696,0.914828,-999,-999,-999,-999
Alnus rubra,Cannell (1982).   Page 253,,912,33,1.518514,22.4,1.350248,49.16201117,1.69163,238.8268156,2.378083,5.726256983,0.757871,244.553073,2.388373,-999,-999,293.7150838,2.46792625,31.00559001,1.49144,5.726259167,0.757871,-999,-999,-999,-999
"Alnus rugosa, Fraxinus nigra, Populus balsamifera et al.",Cannell (1982).   Page 254,,913,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Alnus rugosa, Fraxinus nigra, Populus balsamifera et al.",Cannell (1982).   Page 254,,914,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
A. rugosa,Cannell (1982).   Page 254,,915,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alnus serrulata et al.,Cannell (1982).   Page 255,,916,4,0.60206,2,0.30103,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alnus serrulata et al.,Cannell (1982).   Page 255,,917,5,0.69897,2.7,0.431364,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alnus serrulata et al.,Cannell (1982).   Page 255,,918,6,0.778151,3,0.477121,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alnus serrulata et al.,Cannell (1982).   Page 255,,919,20,1.30103,5.5,0.740363,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Betula Alleghaniensis syn. lutea et al.,Cannell (1982).   Page 257,,920,25,1.39794,8.8,0.944483,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Betula papyrifera et al.,Cannell (1982).   Page 257,,921,22,1.342423,6.7,0.826075,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Betula papyrifera et al.,Cannell (1982).   Page 257,,922,24,1.380211,10.4,1.017033,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Betula populifolia et al.,Cannell (1982).   Page 257,,923,12,1.079181,3.5,0.544068,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Betula populifolia et al.,Cannell (1982).   Page 257,,924,27,1.431364,7.6,0.880814,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Betula populifolia et al.,Cannell (1982).   Page 257,,925,40,1.60206,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Carnegiea gigantea, Cercidium microphyllum, Fouquieria splendens, et al.",Cannell (1982).   Page 258,,926,-999,-999,3.4,0.531479,-999,-999,3.100775194,0.49147,0.051679587,-1.28668,3.15245478,0.498649,-999,-999,-999,-999,0.152454413,-0.81686,0.059431953,-1.22598,-999,-999,-999,-999
"C. microphyllum, Franseria deltoides, F. splendens, et al.",Cannell (1982).   Page 258,,927,-999,-999,3.1,0.491362,-999,-999,2.602739726,0.415431,0.068493151,-1.16435,2.67123288,0.426712,-999,-999,-999,-999,0.246575544,-0.60805,0.095891475,-1.01822,-999,-999,-999,-999
Cercocarpus breviftorus et al.,Cannell (1982).   Page 258,,928,-999,-999,3.7,0.568202,-999,-999,1.704834606,0.231682,0.127226463,-0.89542,1.83206107,0.26294,-999,-999,-999,-999,0.19084026,-0.71933,0.117049618,-0.93163,-999,-999,-999,-999
"Fagus grandifolia, Acer saccharum, Betula lutea syn. alleghaniensis, et al.",Cannell (1982).   Page 259,,929,83,1.919078,10.8,1.033424,9.710743802,0.987252,38.80165289,1.58885,1.446280992,0.160253,40.2479339,1.604744,0.082644628,-1.08279,49.95867769,1.698610935,1.855372008,0.268431,1.177684611,0.071029,0.574380913,-0.2408,3.607438017,0.557198878
"Fagus grandifolia, Acer saccharum, Betula lutea syn. alleghaniensis, et al.",Cannell (1982).   Page 259,,930,95,1.977724,16.7,1.222716,15.96899225,1.203278,119.4573643,2.077213,2.170542636,0.336568,121.627907,2.085033,0.07751938,-1.11059,137.5968992,2.138608647,4.976740545,0.696945,2.736434139,0.437185,1.565892702,0.194762,9.279069767,0.96750444
"Fagus grandifolia, Acer saccharum, Betula lutea syn. alleghaniensis, et al.",Cannell (1982).   Page 259,,931,124,2.093422,16.9,1.227887,23.72093023,1.375132,120.4651163,2.080861,2.325581395,0.366532,122.790698,2.089165,0.15503876,-0.80956,146.5116279,2.165872094,5.418598844,0.733887,2.899225528,0.462282,1.728681563,0.237715,10.04651163,1.002015291
"Fagus grandifolia (73%) [a], Picea rubens (24%) [a], et al.",Cannell (1982).   Page 260,[a] Percentage of the total volume increment.,932,135,2.130334,15.6,1.193125,-999,-999,77.57009346,1.889694,2.336448598,0.368556,79.9065421,1.902582,-999,-999,-999,-999,2.242988258,0.350827,1.962619005,0.292836,-999,-999,-999,-999
"F. grandifolia (80%) [a], Acer saccharum (6%) [a] et al.",Cannell (1982).   Page 260,[a] Percentage of the total volume increment.,933,84,1.924279,13.4,1.127105,-999,-999,58.98617512,1.77075,1.382488479,0.140662,60.3686636,1.780812,-999,-999,-999,-999,15.20736606,1.182054,1.244239544,0.094904,-999,-999,-999,-999
F. grandifolia et al.,Cannell (1982).   Page 260,,934,26,1.414973,7.9,0.897627,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Fouquieria splendens, Prosopis juliflora syn. glandulosa syn. velutina, et al. with understorey shrubs",Cannell (1982).   Page 261,,935,-999,-999,2.5,0.39794,-999,-999,30,1.477121,2,0.30103,32,1.50515,-999,-999,-999,-999,4.500005038,0.653213,2.99999824,0.477121,-999,-999,-999,-999
"Larrea tridentata (72%) [a], Flourensia cernua (9%) [a]",Cannell (1982).   Page 262,[a] Percentage of the vegetation area covered,936,-999,-999,1.7,0.230449,-999,-999,0.076767677,-1.11482,0.008080808,-2.09255,0.08484848,-1.07136,-999,-999,-999,-999,0.007676796,-2.11482,0.010909127,-1.96221,-999,-999,-999,-999
"Liriodendron tulipifera (77%) [a], Acer rubrum (82%) [a], Robinia pseudoccacia, et al.",Cannell (1982).   Page 263,[a] Percentage of the total volume increment.,937,29,1.462398,22.4,1.350248,-999,-999,118.6813187,2.074382,2.582417582,0.412026,121.263736,2.083731,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Liriodendron tulipifera (78%) [a], with Quercus spp., Pinus echinata, Carya tomentosa and understorey trees. ",Cannell (1982).   Page 264,[a] Percentage of the total above-ground biomass.,938,40,1.60206,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Liriodendron tulipifera (78%) [a], with Quercus spp., Pinus echinata, Carya tomentosa and understorey trees. ",Cannell (1982).   Page 264,[a] Percentage of the total above-ground biomass.,939,48,1.681241,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Liriodendron tulipifera with Carya spp., Quercus alba, Quercus rubra, et al.",Cannell (1982).   Page 265,,940,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus deltoides,Cannell (1982).   Page 266,,941,6,0.778151,9.9,0.995635,-999,-999,2.121404277,0.326623,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus deltoides,Cannell (1982).   Page 266,,942,7,0.845098,21.9,1.340444,-999,-999,72.406639,1.859778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus deltoides,Cannell (1982).   Page 266,,943,7,0.845098,17.7,1.247973,-999,-999,20.6050695,1.313974,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus deltoides,Cannell (1982).   Page 266,,944,7,0.845098,14.9,1.173186,-999,-999,7.348560079,0.866202,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus deltoides,Cannell (1982).   Page 266,,945,8,0.90309,20,1.30103,-999,-999,58.74246339,1.768952,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus deltoides,Cannell (1982).   Page 266,,946,8,0.90309,18.3,1.262451,-999,-999,24.84218344,1.39519,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus deltoides,Cannell (1982).   Page 266,,947,8,0.90309,17.1,1.232996,-999,-999,21.69167804,1.336293,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus deltoides,Cannell (1982).   Page 266,,948,9,0.954243,18.5,1.267172,-999,-999,36.82813537,1.56618,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus grandidentata ,Cannell (1982).   Page 268,,949,52,1.716003,26.5,1.423246,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus grandidentata ,Cannell (1982).   Page 268,,950,52,1.716003,23.1,1.363612,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus grandidentata ,Cannell (1982).   Page 268,,951,60,1.778151,15.6,1.193125,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Populus tremuloides,Cannell (1982).   Page 269,,952,80,1.90309,-999,-999,-999,-999,63.34801762,1.801733,0.881057269,-0.055,64.2290749,1.807732,-999,-999,-999,-999,0.823796609,-0.08418,0.96476158,-0.01558,-999,-999,-999,-999
Populus tremuloides,Cannell (1982).   Page 269,,953,41,1.612784,16.5,1.217484,-999,-999,126.75,2.102948,2.3125,0.364082,129.0625,2.1108,-999,-999,-999,-999,3.249997299,0.511883,2.375002111,0.375664,-999,-999,-999,-999
"Populus tremuloides (72%) [a], Robinia neomexicana (7%) [a]",Cannell (1982).   Page 270,[a] Percentage of the total stem volume.,954,34,1.531479,16.1,1.206826,-999,-999,50.64680851,1.704552,2.212765957,0.344935,52.8595745,1.723124,-999,-999,-999,-999,2.595744844,0.414262,1.595743191,0.202963,-999,-999,-999,-999
"P. tremuloides, Populus grandidentata with Acer saccharum, Acer rubrum et al.",Cannell (1982).   Page 270,,955,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"P. tremuloides, Populus grandidentata with Acer saccharum, Acer rubrum et al.",Cannell (1982).   Page 270,,956,40,1.60206,32.3,1.509203,12.71328203,1.104258,55.10204082,1.741168,1.271328203,0.104258,56.373369,1.751074,-999,-999,69.08665105,1.839394141,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides, Populus grandidentata, with Betula populifolia, Acer rubrum et al.",Cannell (1982).   Page 271,,957,6,0.778151,4.9,0.690196,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides, Populus grandidentata, with Betula populifolia, Acer rubrum et al.",Cannell (1982).   Page 271,,958,7,0.845098,5,0.69897,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides, Populus grandidentata, with Betula populifolia, Acer rubrum et al.",Cannell (1982).   Page 271,,959,20,1.30103,10.7,1.029384,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides, Populus grandidentata, with Betula populifolia, Acer rubrum et al.",Cannell (1982).   Page 271,,960,40,1.60206,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides, Populus grandidentata, with Betula populifolia, Acer rubrum et al.",Cannell (1982).   Page 271,,961,41,1.612784,13.7,1.136721,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides, Populus grandidentata, with Acer rubrum, Quercus rubra, Pinus strobus et al.",Cannell (1982).   Page 272,,962,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides, Populus grandidentata, with Acer rubrum, Quercus rubra, Pinus strobus et al.",Cannell (1982).   Page 272,,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides, Populus grandidentata, with Acer rubrum, Quercus rubra, Pinus strobus et al.",Cannell (1982).   Page 272,,964,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides, Populus grandidentata, with Acer rubrum, Quercus rubra, Pinus strobus et al.",Cannell (1982).   Page 272,,965,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides, Populus grandidentata, with Acer rubrum, Quercus rubra, Pinus strobus et al.",Cannell (1982).   Page 272,,966,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides, Populus grandidentata, with Acer rubrum, Quercus rubra, Pinus strobus et al.",Cannell (1982).   Page 272,,967,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
,Cannell (1982).   Page 272,,968,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
,Cannell (1982).   Page 272,,969,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
,Cannell (1982).   Page 272,,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
,Cannell (1982).   Page 272,,971,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
,Cannell (1982).   Page 272,,972,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
,Cannell (1982).   Page 272,,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Populus tremuloides (58%) [a], Acer saccharum (19%) [a], Populus grandidentata (10%) [a], Acer rubrum, et al.",Cannell (1982).   Page 273,[a] Percentage of the total basal area.,974,-999,-999,31.6,1.499687,15.06338553,1.177923,127.7404922,2.106329,-999,-999,-999,-999,1.789709172,0.252782,-999,-999,5.906034778,0.771296,1.759879774,0.245483,0.8948495,-0.04825,8.560775541,0.93251311
"Populus tremuloides, Acer rubrum, Betula papyrifera, Acer saccharum with understorey shrubs.",Cannell (1982).   Page 274,,975,50,1.69897,14.4,1.158362,-999,-999,31.98451795,1.50494,0.844475721,-0.07341,32.8289937,1.516258,-999,-999,-999,-999,2.079519514,0.317963,0.847988573,-0.07161,-999,-999,-999,-999
"Populus tremuloides, Acer rubrum, Betula papyrifera, Acer saccharum with understorey shrubs.",Cannell (1982).   Page 274,,976,50,1.69897,14.4,1.158362,-999,-999,44.56730769,1.649016,1.346153846,0.129095,45.9134615,1.66194,-999,-999,-999,-999,3.855768935,0.586111,1.331729438,0.124416,-999,-999,-999,-999
