"Taxa footnotes, ""[a]"", are found in Column C.",Literature or other reference., Footnotes from respective pages of Cannell (1982).,Original table order for sorting purposes.,years,log10 years,m,log10 m,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year
Eucalyptus populnea (54%) [b] and Eucalyptus intertexta (25%) [b],Cannell (1982).   Page 13,[b] Percentage of the total biomass. ,22,-999,-999,-999,-999,-999,-999,-999,-999,28.61111111,1.456535,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eucalyptus obliqua,Cannell (1982).   Page 14,,23,43.7,1.640481,25.5,1.40654,-999,-999,248.1400438,2.394697,6.01750547,0.779416,254.157549,2.405103,-999,-999,-999,-999,8.643328118,0.936681,-999,-999,-999,-999,-999,-999
Eucalyptus obliqua,Cannell (1982).   Page 14,,24,50.7,1.705008,25.5,1.40654,-999,-999,336.5317919,2.527026,7.976878613,0.901833,344.508671,2.5372,-999,-999,-999,-999,9.341035014,0.970395,3.132946654,0.495953,-999,-999,-999,-999
Eucalyptus obliqua,Cannell (1982).   Page 14,,25,66.2,1.820858,25.5,1.40654,-999,-999,636.971831,2.80412,15.66901408,1.195042,652.640845,2.814674,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eucalyptus obliqua,Cannell (1982).   Page 14,,26,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus regnans (96%)[a] with Acacia,Cannell (1982).   Page 15,[a] Percentage of the total basal area.,27,39,1.591065,42.5,1.628389,114.9090909,2.060354,1111.090909,3.04575,5.454545455,0.736759,1116.54545,3.047876,-999,-999,1231.454545,3.090418386,-999,-999,-999,-999,-999,-999,-999,-999
Eucalyptus obliqua and Eucalyptus dives [a],Cannell (1982).   Page 15,[a] Percentage of the total basal area.,28,39,1.591065,22.5,1.352183,54.69879518,1.737978,443.8554217,2.647242,4.698795181,0.671987,448.554217,2.651815,-999,-999,503.253012,2.701786383,-999,-999,-999,-999,-999,-999,-999,-999
Eucalyptus regnans,Cannell (1982).   Page 16,,29,27,1.431364,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Eucalyptus sieberii,Cannell (1982).   Page 16,,30,27,1.431364,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Eucalyptus radiata, Eucalyptus dalrympleana, Eucalyptus spp. with Acacia ",Cannell (1982).   Page 17,,31,45,1.653213,-999,-999,-999,-999,62.45283019,1.795552,2.955974843,0.470701,65.408805,1.815636,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Eucalyptus signata (55%)[a], Eucalyptus umbra (18%) [a],  with Tristania conferta, Banksia aemula et al",Cannell (1982).   Page 18,[a] Percentage of the total tree biomass.,32,-999,-999,13.5,1.130334,93.78787879,1.972147,147.5757576,2.169015,3.787878788,0.578396,151.363636,2.180022,0.303030303,-0.51851,245.1515152,2.389434582,25.27272083,1.402652,4.060607384,0.608591,12.51514829,1.097436,41.84848485,1.621679739
Pinus pinaster [a],Cannell (1982).   Page 19,"[a] Both treatments received 139 k/ha superphosphate at planting, were pruned to 2.1 m height at age 10, and were thinned from 2500 to 1013 trees/ha at age 12.",33,14,1.146128,-999,-999,-999,-999,95.26159921,1.978918,24.08687068,1.38178,119.34847,2.076817,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pinus pinaster [a],Cannell (1982).   Page 19,"[a] Both treatments received 139 k/ha superphosphate at planting, were pruned to 2.1 m height at age 10, and were thinned from 2500 to 1013 trees/ha at age 12.",34,14,1.146128,-999,-999,-999,-999,78.28232971,1.893664,19.54590326,1.291056,97.828233,1.990464,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pinus pinaster,Cannell (1982).   Page 20,,35,16.5,1.217484,-999,-999,-999,-999,13.27777778,1.123125,2.5,0.39794,15.7777778,1.198046,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pinus pinaster,Cannell (1982).   Page 20,,36,,,,,,,,,,,,,,,,,,,,,,,,
Pinus radiata,Cannell (1982).   Page 21,,37,5,0.69897,3.1,0.491362,-999,-999,2.412868633,0.382534,1.407506702,0.14845,3.82037534,0.582106,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pinus radiata,Cannell (1982).   Page 21,,38,3,0.477121,1.4,0.146128,-999,-999,0.4045853,-0.39299,0.337154417,-0.47217,0.74173972,-0.12975,-999,-999,-999,-999,7.080240338,0.850048,1.685772636,0.226799,-999,-999,-999,-999
Pinus radiata,Cannell (1982).   Page 21,,39,7,0.845098,7.9,0.897627,6.172839506,0.790485,26.54320988,1.423953,7.956104252,0.9007,34.4993141,1.53781,0.274348422,-0.5617,40.67215364,1.609297169,9.053489453,0.956816,2.331959481,0.367721,-999,-999,-999,-999
Pinus radiata,Cannell (1982).   Page 21,,40,9,0.954243,12.1,1.082785,8.775510204,0.943272,43.33333333,1.636822,5.986394558,0.777165,49.3197279,1.693021,0.340136054,-0.46835,58.0952381,1.764140536,11.97277993,1.078195,3.469389022,0.540253,-999,-999,-999,-999
Pinus radiata,Cannell (1982).   Page 21,,41,12,1.079181,15.6,1.193125,-999,-999,69.35897436,1.841103,6.08974359,0.784599,75.4487179,1.877652,0.448717949,-0.34803,-999,-999,9.230771489,0.965238,2.948716365,0.469633,-999,-999,-999,-999
Pseudotsuga menziesii,Cannell (1982).   Page 22,,42,50,1.69897,-999,-999,-999,-999,349.0990991,2.542949,15.04504505,1.177393,364.144144,2.561273,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Alnus glutinosa with Carpinus sp. Crateagus sp. et al.,Cannell (1982).   Page 23,,43,15.5,1.190332,9,0.954243,0.143333333,-0.84365,-999,-999,0.093333333,-1.02996,-999,-999,-999,-999,-999,-999,0.195668087,-0.70848,0.17633154,-0.75367,-999,-999,-999,-999
"Betula pendula (88%) [a], Salix spp., Quercus robur, Castanea sativa et al.",Cannell (1982).   Page 23,[a] Percentage of total woody biomass.,44,14,1.146128,10,1,4.329268293,0.636415,-999,-999,0.650406504,-0.18682,-999,-999,0.101626016,-0.993,-999,-999,2.520327627,0.401457,1.219511781,0.086186,0.406499485,-0.39094,4.146341463,0.617665065
"Fagus sylvatica with Quercus robur, Quercus petraea, Carpinus betulus, Acer campestre et al.",Cannell (1982).   Page 24,,45,144,2.158362,30.8,1.488551,462.5,2.665112,2308.125,3.363259,18.75,1.273001,2326.875,3.366773,8.125,0.909823,2789.375,3.445506904,45.06247073,1.653815,18.74998825,1.273001,8.562508192,0.932601,72.375,1.859588577
"Fagus sylvatica with Quercus robur, Quercus petraea, Carpinus betulus, Acer campestre et al.",Cannell (1982).   Page 24,,46,130,2.113943,28.5,1.454845,357.8947368,2.553755,1768.421053,3.247586,15.26315789,1.183644,1783.68421,3.251318,2.631578947,0.420216,2141.578947,3.330734089,41.52627733,1.618323,15.36841219,1.186629,9.578952066,0.981318,66.47368421,1.82264975
"Quercus petraea with coppiced understorey of Corylus avellana, Carpinus betulus, et al.",Cannell (1982).   Page 25,,47,117,2.068186,24,1.380211,325.1533742,2.512088,1463.190184,3.165301,21.47239264,1.33188,1484.66258,3.171628,7.36196319,0.866994,1809.815951,3.257634412,48.22086538,1.683235,21.47237089,1.33188,10.30675612,1.013122,80,1.903089987
"Quercus robur with coppiced understorey of Corylus avellana, Carpinus betulus, et al.",Cannell (1982).   Page 25,,48,120,2.079181,27,1.431364,461.2612613,2.663947,2686.486486,3.429185,36.03603604,1.556737,2722.52252,3.434971,9.009009009,0.954677,3183.783784,3.502943566,66.12611377,1.820373,35.67565866,1.552372,7.207207071,0.857767,109.009009,2.037462392
